ProductDescriptionID;Description;rowguid;ModifiedDate
3;Chromoly steel.;{301EED3A-1A82-4855-99CB-2AFE8290D641};2013-04-30 00:00:00
4;Aluminum alloy cups; large diameter spindle.;{DFEBA528-DA11-4650-9D86-CAFDA7294EB0};2013-04-30 00:00:00
5;Aluminum alloy cups and a hollow axle.;{F7178DA7-1A7E-4997-8470-06737181305E};2013-04-30 00:00:00
8;Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.;{8E6746E5-AD97-46E2-BD24-FCEA075C3B52};2013-04-30 00:00:00
64;This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.;{7B1C4E90-85E2-4792-B47B-E0C424E2EC94};2013-04-30 00:00:00
88;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;{4C1AD253-357E-4A98-B02E-02180AA406F6};2013-04-30 00:00:00
128;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;{130709E6-8512-49B9-9F62-1F5C99152056};2014-02-08 10:32:17.973000000
168;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;{DB979DA6-4CC8-4171-9ECF-65003FF8178A};2013-04-30 00:00:00
170;Suitable for any type of off-road trip. Fits any budget.;{EA772412-6369-4416-9CC9-C1A5D1FF9C52};2013-04-30 00:00:00
209;Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.;{F5FF5FFD-CB7C-4AD6-BBC9-4D250BB6E98D};2013-04-30 00:00:00
249;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;{4291F144-7693-4460-8B0B-1373E0433021};2013-04-30 00:00:00
320;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;{E130DED9-D0EC-4656-BF4D-1A3A46491891};2013-04-30 00:00:00
321;Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.;{C7B429DA-DC51-47DB-A18E-5891E76CCC16};2013-04-30 00:00:00
337;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;{DB560F0B-E70B-42A7-A1F5-3B7E42D3679D};2013-04-30 00:00:00
375;Cross-train, race, or just socialize on a sleek, aerodynamic bike.  Advanced seat technology provides comfort all day.;{747B2185-0320-4FE5-8E8F-27B84A40A838};2013-04-30 00:00:00
376;Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.;{F1D9955B-BC1C-4D34-BE8B-CDEE33E77087};2013-04-30 00:00:00
409;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;{3DC76714-7572-4547-9D79-ABB708950B2C};2013-04-30 00:00:00
457;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;{3DDB8DEA-FC37-4E44-8C1D-0BF7C6A723E3};2013-04-30 00:00:00
513;All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.;{741EAE59-5E59-4DBC-9086-2633392C2582};2013-04-30 00:00:00
554;The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.;{DDC955B2-843E-49CE-8F7B-54870F6135EB};2013-04-30 00:00:00
594;Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.;{32B82C92-E545-4DA0-A175-0BE710B482FE};2013-04-30 00:00:00
613;Superior shifting performance.;{9C7D8618-A3C3-4C0F-8C72-2E10124E88CA};2013-04-30 00:00:00
618;Super rigid spindle.;{E15FFA7E-BDE8-4DE1-8E81-F197A56E0C9D};2013-04-30 00:00:00
619;High-strength crank arm.;{B62B08AC-A6DA-43BC-950F-2DE2EB5720EB};2013-04-30 00:00:00
620;Triple crankset; alumunim crank arm; flawless shifting.;{E944D225-C6A7-4FA6-A31F-B6CE95E53203};2013-04-30 00:00:00
627;All-weather brake pads; provides superior stopping by applying more surface to the rim.;{EBF2F0A4-89F2-4D31-BE48-D8FD278F3024};2013-04-30 00:00:00
630;Wide-link design.;{28C4682C-38B2-4B61-A2AE-BCAC7C7CE29B};2013-04-30 00:00:00
633;Stout design absorbs shock and offers more precise steering.;{27CCCDBF-7E02-4328-9C05-E406BD2E5A60};2013-04-30 00:00:00
634;Composite road fork with an aluminum steerer tube.;{53EE20F0-1DE9-44C2-8A5D-4CFA349F1A07};2013-04-30 00:00:00
635;High-performance carbon road fork with curved legs.;{C2399002-E273-409B-8164-42F6E6BFCC6C};2013-04-30 00:00:00
637;Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.;{F49EE591-B110-4CF5-BC17-62BB838DC58A};2013-04-30 00:00:00
642;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.;{35FBEEFD-10E6-4420-B0AE-051B57FEFF36};2013-04-30 00:00:00
644;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;{E4B9F9B5-7428-4B34-B8EA-3FB6EE4BC4F8};2013-04-30 00:00:00
647;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;{7AD9E29F-16CF-4DB0-B073-CC62D501B61A};2013-04-30 00:00:00
661;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;{D61C9D54-22C3-4563-A418-0B9DC7E03850};2013-04-30 00:00:00
686;Replacement mountain wheel for entry-level rider.;{7DCC4B3A-7E9A-4EEC-AAEE-0E841CDBBEBC};2013-04-30 00:00:00
